detector,condition,n,thr_en,fpr,mean,median
promptguard2_86m,sr_cyrl_mix_21ch,150,0.006012,0.02,0.0025,0.0009
promptguard2_86m,en_mix_25%,67,0.006012,0.0746,0.0019,0.001
promptguard2_86m,sr_latn_mix_25%,150,0.006012,0.04,0.0139,0.0011
promptguard2_86m,sr_cyrl_mix_25%,150,0.006012,0.02,0.0033,0.0011
promptguard2_86m,en_mix_50%,67,0.006012,0.2388,0.0122,0.0018
promptguard2_86m,sr_latn_mix_50%,150,0.006012,0.1133,0.021,0.0018
promptguard2_86m,sr_cyrl_mix_50%,150,0.006012,0.0467,0.0043,0.0016
promptguard2_86m,en_mix_100%,67,0.006012,0.3134,0.0079,0.0021
promptguard2_86m,sr_latn_mix_100%,150,0.006012,0.0467,0.0072,0.0016
promptguard2_86m,sr_cyrl_mix_100%,150,0.006012,0.06,0.0077,0.0017
deepset,en_orig,67,0.998954,0.0,0.7841,0.9953
deepset,sr_cyrl_orig,150,0.998954,0.0533,0.9989,0.9989
deepset,sr_latn_orig,150,0.998954,0.1133,0.9986,0.9988
deepset,en_mix_1ch,67,0.998954,0.0299,0.8448,0.997
deepset,sr_latn_mix_1ch,150,0.998954,0.1533,0.9987,0.9989
deepset,sr_cyrl_mix_1ch,150,0.998954,0.0733,0.9989,0.9989
deepset,en_mix_2ch,67,0.998954,0.0149,0.8768,0.9969
deepset,sr_latn_mix_2ch,150,0.998954,0.1933,0.9988,0.9989
deepset,sr_cyrl_mix_2ch,150,0.998954,0.0733,0.9989,0.9989
deepset,en_mix_3ch,67,0.998954,0.0149,0.9313,0.9972
deepset,sr_latn_mix_3ch,150,0.998954,0.1867,0.9988,0.9989
deepset,sr_cyrl_mix_3ch,150,0.998954,0.06,0.9989,0.9989
deepset,en_mix_5ch,67,0.998954,0.0299,0.9641,0.9978
deepset,sr_latn_mix_5ch,150,0.998954,0.2067,0.9988,0.9989
deepset,sr_cyrl_mix_5ch,150,0.998954,0.06,0.9989,0.9989
deepset,en_mix_8ch,67,0.998954,0.0896,0.9967,0.9981
deepset,sr_latn_mix_8ch,150,0.998954,0.2267,0.9989,0.9989
deepset,sr_cyrl_mix_8ch,150,0.998954,0.0533,0.9989,0.9989
deepset,en_mix_13ch,67,0.998954,0.1791,0.9975,0.9987
deepset,sr_latn_mix_13ch,150,0.998954,0.18,0.9989,0.9989
deepset,sr_cyrl_mix_13ch,150,0.998954,0.0133,0.9989,0.9989
deepset,en_mix_21ch,67,0.998954,0.209,0.9982,0.9989
deepset,sr_latn_mix_21ch,150,0.998954,0.1333,0.9989,0.9989
deepset,sr_cyrl_mix_21ch,150,0.998954,0.0067,0.9988,0.9989
deepset,en_mix_25%,67,0.998954,0.0746,0.989,0.9986
deepset,sr_latn_mix_25%,150,0.998954,0.08,0.9989,0.9989
deepset,sr_cyrl_mix_25%,150,0.998954,0.0133,0.9988,0.9988
deepset,en_mix_50%,67,0.998954,0.1493,0.9988,0.9989
deepset,sr_latn_mix_50%,150,0.998954,0.0,0.9988,0.9988
deepset,sr_cyrl_mix_50%,150,0.998954,0.0,0.9987,0.9987
deepset,en_mix_100%,67,0.998954,0.209,0.9988,0.9989
deepset,sr_latn_mix_100%,150,0.998954,0.0,0.9988,0.9988
deepset,sr_cyrl_mix_100%,150,0.998954,0.0,0.9986,0.9986
protectai_v2,en_orig,67,0.999998,0.0,0.0629,0.0
protectai_v2,sr_cyrl_orig,150,0.999998,0.0,0.085,0.0084
protectai_v2,sr_latn_orig,150,0.999998,0.0,0.0191,0.0001
protectai_v2,en_mix_1ch,67,0.999998,0.0149,0.0749,0.0
protectai_v2,sr_latn_mix_1ch,150,0.999998,0.0,0.028,0.0002
protectai_v2,sr_cyrl_mix_1ch,150,0.999998,0.0,0.0929,0.0102
protectai_v2,en_mix_2ch,67,0.999998,0.0149,0.0771,0.0001
protectai_v2,sr_latn_mix_2ch,150,0.999998,0.0,0.0345,0.0003
protectai_v2,sr_cyrl_mix_2ch,150,0.999998,0.0,0.0983,0.0117
protectai_v2,en_mix_3ch,67,0.999998,0.0149,0.0842,0.0001
protectai_v2,sr_latn_mix_3ch,150,0.999998,0.0,0.0311,0.0003
protectai_v2,sr_cyrl_mix_3ch,150,0.999998,0.0,0.111,0.0136
protectai_v2,en_mix_5ch,67,0.999998,0.0,0.1269,0.0003
protectai_v2,sr_latn_mix_5ch,150,0.999998,0.0,0.0401,0.0005
protectai_v2,sr_cyrl_mix_5ch,150,0.999998,0.0,0.1249,0.017
protectai_v2,en_mix_8ch,67,0.999998,0.0299,0.2009,0.0011
protectai_v2,sr_latn_mix_8ch,150,0.999998,0.0,0.0614,0.0009
protectai_v2,sr_cyrl_mix_8ch,150,0.999998,0.0,0.166,0.0234
protectai_v2,en_mix_13ch,67,0.999998,0.0299,0.3815,0.0179
protectai_v2,sr_latn_mix_13ch,150,0.999998,0.0,0.0825,0.0018
protectai_v2,sr_cyrl_mix_13ch,150,0.999998,0.0,0.2196,0.0395
protectai_v2,en_mix_21ch,67,0.999998,0.0896,0.4858,0.1813
protectai_v2,sr_latn_mix_21ch,150,0.999998,0.0,0.1555,0.0054
protectai_v2,sr_cyrl_mix_21ch,150,0.999998,0.0,0.3272,0.1065
protectai_v2,en_mix_25%,67,0.999998,0.0597,0.1738,0.0007
protectai_v2,sr_latn_mix_25%,150,0.999998,0.0,0.1809,0.0114
protectai_v2,sr_cyrl_mix_25%,150,0.999998,0.0,0.6403,0.8322
protectai_v2,en_mix_50%,67,0.999998,0.0149,0.5192,0.8155
protectai_v2,sr_latn_mix_50%,150,0.999998,0.0,0.5807,0.6314
protectai_v2,sr_cyrl_mix_50%,150,0.999998,0.0,0.9511,0.9947
protectai_v2,en_mix_100%,67,0.999998,0.0149,0.7203,0.9769
protectai_v2,sr_latn_mix_100%,150,0.999998,0.0,0.983,0.9966
protectai_v2,sr_cyrl_mix_100%,150,0.999998,0.0,0.9767,0.9958
